block_start,block_end,average_distance
1,9,0.398065234375
2,10,0.385863671875
3,11,0.3666390625
4,12,0.368468359375
5,13,0.36471875
6,14,0.3626548828125
7,15,0.35965703125
8,16,0.356823828125
9,17,0.360168359375
10,18,0.3624865234375
11,19,0.36348125
12,20,0.363033203125
13,21,0.357157421875
14,22,0.3435009765625
15,23,0.334367578125
16,24,0.317884765625
17,25,0.3014330078125
18,26,0.28235107421875
19,27,0.27327060546875
20,28,0.26967470703125
21,29,0.270756640625
22,30,0.265484375
23,31,0.2965732421875
24,32,0.4154189453125
